season,division,conference,team_name,org_id,team_url,error
2025,D2,CACC,Bridgeport,594220,https://www.ubknights.com/sports/mlax/index,Bridgeport: sidearm failed (HTTP 403 for 'https://www.ubknights.com/services/responsive-stats.ashx?type=team&division=2&season=2025' (content-type: 'text/html; charset=UTF-8')); presto failed (HTTP 403 (content-type: 'text/html; charset=UTF-8') for 'https://www.ubknights.com/sports/mens-lacrosse/stats')
2025,D2,CACC,Dominican (NY),594147,https://www.chargerathletics.com/sports/mlax/coaches/index,Dominican (NY): sidearm failed (HTTP 403 for 'https://www.chargerathletics.com/services/responsive-stats.ashx?type=team&division=2&season=2025' (content-type: 'text/html; charset=UTF-8')); presto failed (HTTP 404 (content-type: 'text/html; charset=UTF-8') for 'https://www.chargerathletics.com/sports/mens-lacrosse/stats')
2025,D2,CACC,Wilmington (DE),594180,https://wildcats.athletics.wilmu.edu/sports/mlax/index,Wilmington (DE): sidearm failed (HTTP 404 for 'https://wildcats.athletics.wilmu.edu/services/responsive-stats.ashx?type=team&division=2&season=2025' (content-type: 'text/html; charset=UTF-8')); presto failed (HTTP 403 (content-type: 'text/html; charset=UTF-8') for 'https://wildcats.athletics.wilmu.edu/sports/mens-lacrosse/stats')
2025,D2,ECC,Dist. Columbia,594083,https://www.udcfirebirds.com/sports/mlax/index,Dist. Columbia: sidearm failed (HTTP 403 for 'https://www.udcfirebirds.com/services/responsive-stats.ashx?type=team&division=2&season=2025' (content-type: 'text/html; charset=UTF-8')); presto failed (HTTP 404 (content-type: 'text/html; charset=UTF-8') for 'https://www.udcfirebirds.com/sports/mens-lacrosse/stats')
2025,D2,ECC,Dowling,24034,https://www.dowlingathletics.com/index_path_mlax/,Dowling: sidearm failed (HTTP 404 for 'https://www.dowlingathletics.com/services/responsive-stats.ashx?type=team&division=2&season=2025' (content-type: 'text/html; charset=UTF-8')); presto failed (HTTP 404 (content-type: 'text/html; charset=UTF-8') for 'https://www.dowlingathletics.com/sports/mens-lacrosse/stats')
2025,D2,ECC,LIU Post,473307,,skipped_empty_team_url (inactive program; see vendors notes)
2025,D2,ECC,New York Tech,493923,,skipped_empty_team_url (inactive program; see vendors notes)
2025,D2,ECC,St. Thomas Aquinas,594134,https://www.stacathletics.com/sports/mlax/index,St. Thomas Aquinas: sidearm failed (HTTP 403 for 'https://www.stacathletics.com/services/responsive-stats.ashx?type=team&division=2&season=2025' (content-type: 'text/html; charset=UTF-8')); presto failed (HTTP 403 (content-type: 'text/html; charset=UTF-8') for 'https://www.stacathletics.com/sports/mens-lacrosse/stats')
2025,D2,G-MAC,Alderson Broaddus,547012,,skipped_empty_team_url (inactive program; see vendors notes)
2025,D2,G-MAC,Northwood,594943,https://www.gonorthwood.com/sports/mlax/index,Northwood: sidearm failed (HTTP 403 for 'https://www.gonorthwood.com/services/responsive-stats.ashx?type=team&division=2&season=2025' (content-type: 'text/html; charset=UTF-8')); presto failed (HTTP 403 (content-type: 'text/html; charset=UTF-8') for 'https://www.gonorthwood.com/sports/mens-lacrosse/stats')
2025,D2,G-MAC,Ohio Valley,423624,,skipped_empty_team_url (inactive program; see vendors notes)
2025,D2,GLVC,Lindenwood,530123,,skipped_empty_team_url (inactive program; see vendors notes)
2025,D2,NE10,Saint Rose,571479,,skipped_empty_team_url (inactive program; see vendors notes)
2025,D2,RMAC,CSU Pueblo,571483,https://gothunderwolves.com/sports/mens-lacrosse,CSU Pueblo: sidearm failed (HTTP 404 for 'https://gothunderwolves.com/services/responsive-stats.ashx?type=team&division=2&season=2025' (content-type: 'text/html; charset=utf-8')); presto failed (team totals rows not found in 'https://gothunderwolves.com/sports/mens-lacrosse/stats/2025')
2025,D2,SAC,Coker,594118,https://www.cokercobras.com/sports/mlax/coaches/index,Coker: sidearm failed (HTTP 404 for 'https://www.cokercobras.com/services/responsive-stats.ashx?type=team&division=2&season=2025' (content-type: 'text/html; charset=UTF-8')); presto failed (HTTP 404 (content-type: 'text/html; charset=UTF-8') for 'https://www.cokercobras.com/sports/mens-lacrosse/stats')
2025,D2,SAC,Emory & Henry,594942,https://www.gowasps.com/sports/mlax/index,Emory & Henry: sidearm failed (HTTP 403 for 'https://www.gowasps.com/services/responsive-stats.ashx?type=team&division=2&season=2025' (content-type: 'text/html; charset=UTF-8')); presto failed (HTTP 404 (content-type: 'text/html; charset=UTF-8') for 'https://www.gowasps.com/sports/mens-lacrosse/stats')
2025,D2,SAC,Limestone,594121,https://golimestonesaints.com/sports/mens-lacrosse,Limestone: sidearm failed (HTTP 404 for 'https://golimestonesaints.com/services/responsive-stats.ashx?type=team&division=2&season=2025' (content-type: 'text/html; charset=us-ascii')); presto failed (HTTP 404 (content-type: 'text/html; charset=us-ascii') for 'https://golimestonesaints.com/sports/mens-lacrosse/stats')
2025,D2,SAC,Mars Hill,594125,https://www.marshilllions.com/sports/mlax/index,Mars Hill: sidearm failed (HTTP 403 for 'https://www.marshilllions.com/services/responsive-stats.ashx?type=team&division=2&season=2025' (content-type: 'text/html; charset=UTF-8')); presto failed (HTTP 404 (content-type: 'text/html; charset=UTF-8') for 'https://www.marshilllions.com/sports/mens-lacrosse/stats')
2025,D2,SAC,Tusculum,594153,https://www.tusculumpioneers.com/sports/mlax/index,Tusculum: sidearm failed (HTTP 404 for 'https://www.tusculumpioneers.com/services/responsive-stats.ashx?type=team&division=2&season=2025' (content-type: 'text/html; charset=UTF-8')); presto failed (HTTP 404 (content-type: 'text/html; charset=UTF-8') for 'https://www.tusculumpioneers.com/sports/mens-lacrosse/stats')
2025,D2,Sunshine State,Tampa,594250,https://www.tampaspartans.com/sports/mlax/index,Tampa: sidearm failed (HTTP 403 for 'https://www.tampaspartans.com/services/responsive-stats.ashx?type=team&division=2&season=2025' (content-type: 'text/html; charset=UTF-8')); presto failed (HTTP 403 (content-type: 'text/html; charset=UTF-8') for 'https://www.tampaspartans.com/sports/mens-lacrosse/stats')
