academic_year,division,team_org_id,opp_org_id,team_name,opp_name,game_date,location,team_score,opp_score,result,goal_margin
2014,1,103551,103506.0,Air Force,Denver,2014-02-08,H,8,14,L,-6
2014,1,103551,103511.0,Air Force,Furman,2014-02-15,H,15,6,W,9
2014,1,103551,103501.0,Air Force,"Canisius @ Denver, Colo.",2014-02-22,H,6,7,L,-1
2014,1,103551,103524.0,Air Force,"Marist @ Denver, Colo.",2014-02-23,H,17,9,W,8
2014,1,103551,103556.0,Air Force,VMI,2014-03-02,A,4,6,L,-2
2014,1,103551,103495.0,Air Force,Bellarmine,2014-03-08,H,13,9,W,4
2014,1,103551,103518.0,Air Force,Jacksonville,2014-03-15,A,15,12,W,3
2014,1,103551,103496.0,Air Force,Binghamton,2014-03-23,A,10,8,W,2
2014,1,103551,103530.0,Air Force,Michigan,2014-03-29,H,15,12,W,3
2014,1,103551,103529.0,Air Force,Mercer,2014-04-05,H,19,6,W,13
2014,1,103551,103510.0,Air Force,Fairfield,2014-04-12,H,16,8,W,8
2014,1,103551,103535.0,Air Force,Ohio St.,2014-04-19,A,6,8,L,-2
2014,1,103551,103540.0,Air Force,Quinnipiac,2014-04-26,A,10,15,L,-5
2014,1,103551,103535.0,Air Force,Ohio St.,2014-05-01,A,14,7,W,7
2014,1,103551,103510.0,Air Force,"Fairfield @ Columbus, Ohio",2014-05-03,H,9,8,W,1
2014,1,103551,103541.0,Air Force,Richmond,2014-05-07,H,13,5,W,8
2014,1,103551,103509.0,Air Force,Duke,2014-05-11,A,9,20,L,-11
2014,1,103552,103528.0,Army West Point,Massachusetts,2014-02-08,H,5,6,L,-1
2014,1,103552,103556.0,Army West Point,VMI,2014-02-16,A,15,6,W,9
2014,1,103552,103511.0,Army West Point,"Furman @ Washington, D.C.",2014-02-22,H,12,2,W,10
2014,1,103552,103520.0,Army West Point,Lafayette,2014-03-01,A,8,6,W,2
2014,1,103552,103543.0,Army West Point,Rutgers,2014-03-04,H,8,9,L,-1
2014,1,103552,103517.0,Army West Point,Holy Cross,2014-03-08,H,13,3,W,10
2014,1,103552,103522.0,Army West Point,Loyola Maryland,2014-03-15,A,6,7,L,-1
2014,1,103552,103521.0,Army West Point,Lehigh,2014-03-22,H,6,5,W,1
2014,1,103552,103500.0,Army West Point,Bucknell,2014-03-29,H,11,6,W,5
2014,1,103552,103497.0,Army West Point,Boston U.,2014-04-05,A,8,7,W,1
2014,1,103552,103553.0,Army West Point,Navy,2014-04-12,H,14,7,W,7
2014,1,103552,103502.0,Army West Point,Colgate,2014-04-18,A,8,7,W,1
2014,1,103552,103521.0,Army West Point,"Lehigh @ Baltimore, Md.",2014-04-25,H,11,12,L,-1
2014,1,103552,103534.0,Army West Point,Notre Dame,2014-05-03,A,17,18,L,-1
2014,1,103495,103542.0,Bellarmine,Robert Morris,2014-02-15,H,10,7,W,3
2014,1,103495,103518.0,Bellarmine,Jacksonville,2014-02-22,A,8,4,W,4
2014,1,103495,103511.0,Bellarmine,Furman,2014-03-01,H,13,7,W,6
2014,1,103495,103507.0,Bellarmine,Detroit Mercy,2014-03-04,A,12,8,W,4
2014,1,103495,103551.0,Bellarmine,Air Force,2014-03-08,A,9,13,L,-4
2014,1,103495,103530.0,Bellarmine,Michigan,2014-03-15,H,10,11,L,-1
2014,1,103495,103535.0,Bellarmine,Ohio St.,2014-03-21,A,7,10,L,-3
2014,1,103495,103510.0,Bellarmine,Fairfield,2014-03-29,H,3,9,L,-6
2014,1,103495,103525.0,Bellarmine,Marquette,2014-04-01,A,10,7,W,3
2014,1,103495,103560.0,Bellarmine,High Point,2014-04-05,H,10,9,W,1
2014,1,103495,103557.0,Bellarmine,Virginia,2014-04-19,A,8,12,L,-4
2014,1,103495,103529.0,Bellarmine,"Mercer @ Milton, Ga.",2014-04-26,H,13,6,W,7
2014,1,103496,103544.0,Binghamton,Sacred Heart,2014-02-16,A,8,6,W,2
2014,1,103496,103547.0,Binghamton,Siena,2014-02-22,H,9,13,L,-4
