academic_year,division,team_org_id,opp_org_id,team_name,opp_name,game_date,location,team_score,opp_score,result,goal_margin
2021,1,507874,507826,Air Force,Denver,2021-02-13,H,6,15,L,-9
2021,1,507874,507812,Air Force,Utah,2021-02-20,H,10,9,W,1
2021,1,507874,507829,Air Force,Duke,2021-02-27,A,7,17,L,-10
2021,1,507874,507880,Air Force,Virginia,2021-03-06,A,4,20,L,-16
2021,1,507874,507865,Air Force,Robert Morris,2021-03-13,H,13,14,L,-1
2021,1,507874,507855,Air Force,North Carolina,2021-03-20,A,5,15,L,-10
2021,1,507874,507814,Air Force,Bellarmine,2021-03-27,A,8,6,W,2
2021,1,507874,507851,Air Force,Mercer,2021-04-03,H,13,15,L,-2
2021,1,507874,507839,Air Force,Jacksonville,2021-04-10,A,5,11,L,-6
2021,1,507874,507879,Air Force,VMI,2021-04-17,H,18,4,W,14
2021,1,507874,507883,Air Force,High Point,2021-04-24,H,8,13,L,-5
2021,1,507874,507864,Air Force,Richmond,2021-05-01,A,9,8,W,1
2021,1,507874,507864,Air Force,#1 Richmond 2021 SoCon MLA Championship,2021-05-05,A,6,11,L,-5
2021,1,507875,507880,Army West Point,Virginia,2021-02-14,A,9,14,L,-5
2021,1,507875,507872,Army West Point,Syracuse,2021-02-21,A,18,11,W,7
2021,1,507875,507869,Army West Point,Saint Joseph's,2021-02-27,H,13,5,W,8
2021,1,507875,507816,Army West Point,Boston U.,2021-03-06,A,12,10,W,2
2021,1,507875,507838,Army West Point,Holy Cross,2021-03-27,H,13,3,W,10
2021,1,507875,507842,Army West Point,Lehigh,2021-04-03,A,12,13,L,-1
2021,1,507875,507844,Army West Point,Loyola Maryland,2021-04-10,A,12,7,W,5
2021,1,507875,507816,Army West Point,Boston U.,2021-04-17,H,14,8,W,6
2021,1,507875,507876,Army West Point,Navy,2021-04-24,A,4,9,L,-5
2021,1,507875,507822,Army West Point,Colgate,2021-04-30,H,13,11,W,2
2021,1,507875,507844,Army West Point,"#2 Loyola Maryland @Bethlehem, Pa. (2021 Patriot League MLA Tournament)",2021-05-07,H,10,11,L,-1
2021,1,507814,507851,Bellarmine,Mercer,2021-01-30,A,9,7,W,2
2021,1,507814,507812,Bellarmine,Utah,2021-02-06,H,7,12,L,-5
2021,1,507814,507839,Bellarmine,Jacksonville,2021-02-10,A,8,19,L,-11
2021,1,507814,507825,Bellarmine,Delaware,2021-02-28,A,11,14,L,-3
2021,1,507814,507865,Bellarmine,Robert Morris,2021-03-02,A,8,17,L,-9
2021,1,507814,507857,Bellarmine,Notre Dame,2021-03-06,A,6,12,L,-6
2021,1,507814,507879,Bellarmine,VMI,2021-03-09,H,12,8,W,4
2021,1,507814,507821,Bellarmine,Cleveland St.,2021-03-13,H,1,8,L,-7
2021,1,507814,507864,Bellarmine,Richmond,2021-03-20,H,5,17,L,-12
2021,1,507814,507874,Bellarmine,Air Force,2021-03-27,H,6,8,L,-2
2021,1,507814,507883,Bellarmine,High Point,2021-04-03,A,5,13,L,-8
2021,1,507814,507879,Bellarmine,VMI,2021-04-10,A,11,9,W,2
2021,1,507814,507821,Bellarmine,Cleveland St.,2021-04-17,H,11,4,W,7
2021,1,507814,507839,Bellarmine,Jacksonville,2021-04-24,A,7,8,L,-1
2021,1,507814,507851,Bellarmine,Mercer,2021-05-01,H,11,8,W,3
2021,1,507815,507856,Binghamton,NJIT,2021-03-06,A,11,5,W,6
2021,1,507815,507813,Binghamton,UAlbany,2021-03-20,H,7,19,L,-12
2021,1,507815,507848,Binghamton,UMBC,2021-03-24,H,8,7,W,1
2021,1,507815,507848,Binghamton,UMBC,2021-03-27,A,6,7,L,-1
2021,1,507815,507856,Binghamton,NJIT,2021-04-03,H,11,9,W,2
2021,1,507815,507834,Binghamton,Hartford,2021-04-10,H,7,8,L,-1
2021,1,507815,507871,Binghamton,Stony Brook,2021-04-16,A,8,22,L,-14
2021,1,507815,507877,Binghamton,Vermont,2021-04-24,H,10,7,W,3
2021,1,507815,507843,Binghamton,UMass Lowell,2021-05-02,A,11,9,W,2
2021,1,507816,507884,Boston U.,Merrimack,2021-02-20,A,15,12,W,3
2021,1,507816,507949,Boston U.,Pace,2021-02-27,H,15,2,W,13
2021,1,507816,507875,Boston U.,Army West Point,2021-03-06,H,10,12,L,-2
2021,1,507816,507838,Boston U.,Holy Cross,2021-03-12,A,16,6,W,10
2021,1,507816,507822,Boston U.,Colgate,2021-03-20,H,16,11,W,5
2021,1,507816,507841,Boston U.,Lafayette,2021-03-27,A,13,9,W,4
2021,1,507816,507812,Boston U.,Utah,2021-04-03,H,10,11,L,-1
2021,1,507816,507822,Boston U.,Colgate,2021-04-10,A,14,10,W,4
2021,1,507816,507875,Boston U.,Army West Point,2021-04-17,A,8,14,L,-6
2021,1,507816,507817,Boston U.,Brown,2021-04-23,H,5,12,L,-7
2021,1,507816,507822,Boston U.,#3 Colgate 2021 Patriot League MLA Tournament,2021-05-04,H,8,11,L,-3
2021,1,507818,507862,Bryant,Providence,2021-02-13,H,9,8,W,1
