academic_year,division,team_org_id,opp_org_id,team_name,opp_name,game_date,location,team_score,opp_score,result,goal_margin
2018,1,423561,423516,Air Force,Duke,2018-02-03,A,4,18,L,-14
2018,1,423561,423513,Air Force,Denver,2018-02-10,H,5,11,L,-6
2018,1,423561,423533,Air Force,Marist,2018-02-17,A,8,7,W,1
2018,1,423561,423508,Air Force,Cleveland St.,2018-02-23,H,7,8,L,-1
2018,1,423561,423503,Air Force,Boston U.,2018-03-03,H,9,15,L,-6
2018,1,423561,423539,Air Force,Michigan,2018-03-09,A,9,14,L,-5
2018,1,423561,423514,Air Force,Detroit Mercy,2018-03-11,A,9,7,W,2
2018,1,423561,423566,Air Force,VMI,2018-03-17,H,11,6,W,5
2018,1,423561,423538,Air Force,Mercer,2018-03-24,H,7,9,L,-2
2018,1,423561,423510,Air Force,Cornell,2018-03-27,A,5,23,L,-18
2018,1,423561,423501,Air Force,Bellarmine,2018-03-31,A,9,7,W,2
2018,1,423561,423526,Air Force,Jacksonville,2018-04-07,A,12,13,L,-1
2018,1,423561,423518,Air Force,Furman,2018-04-14,H,11,3,W,8
2018,1,423561,423570,Air Force,High Point,2018-04-21,H,6,7,L,-1
2018,1,423561,423551,Air Force,Richmond,2018-04-28,A,6,12,L,-6
2018,1,423562,423537,Army West Point,Massachusetts,2018-02-10,H,18,6,W,12
2018,1,423562,423543,Army West Point,NJIT,2018-02-13,H,14,5,W,9
2018,1,423562,423553,Army West Point,Rutgers,2018-02-17,H,9,7,W,2
2018,1,423562,423559,Army West Point,Syracuse,2018-02-24,A,10,11,L,-1
2018,1,423562,423528,Army West Point,Lafayette,2018-03-03,A,13,4,W,9
2018,1,423562,423529,Army West Point,Lehigh,2018-03-10,H,7,9,L,-2
2018,1,423562,423525,Army West Point,Holy Cross,2018-03-17,H,5,3,W,2
2018,1,423562,423509,Army West Point,Colgate,2018-03-24,A,6,8,L,-2
2018,1,423562,423506,Army West Point,Bucknell,2018-03-31,H,7,10,L,-3
2018,1,423562,423503,Army West Point,Boston U.,2018-04-07,A,7,8,L,-1
2018,1,423562,423563,Army West Point,Navy,2018-04-14,H,8,9,L,-1
2018,1,423562,423531,Army West Point,Loyola Maryland,2018-04-20,A,8,12,L,-4
2018,1,423562,423544,Army West Point,Notre Dame,2018-05-05,A,5,17,L,-12
2018,1,423501,423552,Bellarmine,Robert Morris,2018-02-09,H,7,15,L,-8
2018,1,423501,423539,Bellarmine,Michigan,2018-02-13,A,7,9,L,-2
2018,1,423501,423508,Bellarmine,Cleveland St.,2018-02-17,H,13,9,W,4
2018,1,423501,423532,Bellarmine,"Manhattan @Chester, PA",2018-02-24,H,9,10,L,-1
2018,1,423501,423514,Bellarmine,"Detroit Mercy @Pontiac, Mich.",2018-03-02,H,5,11,L,-6
2018,1,423501,423534,Bellarmine,"Marquette @Pontiac, Mich.",2018-03-04,H,7,6,W,1
2018,1,423501,423570,Bellarmine,High Point,2018-03-17,A,7,15,L,-8
2018,1,423501,423526,Bellarmine,Jacksonville,2018-03-24,A,5,9,L,-4
2018,1,423501,423561,Bellarmine,Air Force,2018-03-31,H,7,9,L,-2
2018,1,423501,423551,Bellarmine,Richmond,2018-04-07,A,6,8,L,-2
2018,1,423501,423538,Bellarmine,Mercer,2018-04-14,H,12,6,W,6
2018,1,423501,423566,Bellarmine,VMI,2018-04-21,A,10,7,W,3
2018,1,423501,423518,Bellarmine,Furman,2018-04-28,H,7,8,L,-1
2018,1,423502,423559,Binghamton,Syracuse,2018-02-10,A,4,21,L,-17
2018,1,423502,423509,Binghamton,Colgate,2018-02-13,A,7,21,L,-14
2018,1,423502,423507,Binghamton,Canisius,2018-02-20,H,10,12,L,-2
2018,1,423502,423533,Binghamton,Marist,2018-02-25,A,7,8,L,-1
2018,1,423502,423523,Binghamton,Hobart,2018-03-03,A,6,17,L,-11
2018,1,423502,423510,Binghamton,Cornell,2018-03-06,A,2,18,L,-16
2018,1,423502,423512,Binghamton,Delaware,2018-03-10,H,8,7,W,1
2018,1,423502,423530,Binghamton,UMass Lowell,2018-03-17,H,10,14,L,-4
2018,1,423502,423564,Binghamton,Vermont,2018-03-24,A,6,10,L,-4
2018,1,423502,423557,Binghamton,Siena,2018-03-27,H,13,11,W,2
2018,1,423502,423528,Binghamton,Lafayette,2018-03-31,A,15,6,W,9
2018,1,423502,423521,Binghamton,Hartford,2018-04-07,A,14,10,W,4
2018,1,423502,423535,Binghamton,UMBC,2018-04-14,H,2,5,L,-3
2018,1,423502,423500,Binghamton,UAlbany,2018-04-20,A,7,18,L,-11
2018,1,423502,423558,Binghamton,Stony Brook,2018-04-27,H,9,15,L,-6
2018,1,423503,423549,Boston U.,Providence,2018-02-03,H,12,11,W,1
2018,1,423503,423545,Boston U.,Ohio St.,2018-02-10,A,9,15,L,-6
2018,1,423503,423511,Boston U.,Dartmouth,2018-02-20,H,10,4,W,6
2018,1,423503,423563,Boston U.,Navy,2018-02-24,H,8,10,L,-2
2018,1,423503,423505,Boston U.,Bryant,2018-02-27,A,8,7,W,1
2018,1,423503,423561,Boston U.,Air Force,2018-03-03,A,15,9,W,6
2018,1,423503,423509,Boston U.,Colgate,2018-03-10,H,9,16,L,-7
2018,1,423503,423506,Boston U.,Bucknell,2018-03-17,A,9,16,L,-7
2018,1,423503,423522,Boston U.,Harvard,2018-03-20,A,18,19,L,-1
2018,1,423503,423528,Boston U.,Lafayette,2018-03-24,A,12,8,W,4
2018,1,423503,423529,Boston U.,Lehigh,2018-03-31,H,6,7,L,-1
2018,1,423503,423562,Boston U.,Army West Point,2018-04-07,H,8,7,W,1
2018,1,423503,423531,Boston U.,Loyola Maryland,2018-04-14,A,9,23,L,-14
2018,1,423503,423525,Boston U.,Holy Cross,2018-04-20,A,9,4,W,5
2018,1,423503,423506,Boston U.,Bucknell,2018-04-24,A,12,11,W,1
2018,1,423503,423531,Boston U.,Loyola Maryland,2018-04-27,A,8,13,L,-5
2018,1,423503,423516,Boston U.,Duke,2018-05-06,A,9,13,L,-4
2018,1,423504,423550,Brown,Quinnipiac,2018-02-17,A,11,12,L,-1
2018,1,423504,423558,Brown,Stony Brook,2018-02-24,A,18,11,W,7
2018,1,423504,423553,Brown,Rutgers,2018-03-03,H,8,10,L,-2
2018,1,423504,423565,Brown,Villanova,2018-03-06,A,12,9,W,3
2018,1,423504,423522,Brown,Harvard,2018-03-17,A,8,10,L,-2
2018,1,423504,423525,Brown,Holy Cross,2018-03-20,A,19,8,W,11
2018,1,423504,423537,Brown,Massachusetts,2018-03-24,H,12,14,L,-2
2018,1,423504,423548,Brown,Princeton,2018-03-31,H,14,13,W,1
2018,1,423504,423547,Brown,Penn,2018-04-07,A,10,9,W,1
2018,1,423504,423569,Brown,Yale,2018-04-14,H,15,27,L,-12
2018,1,423504,423549,Brown,Providence,2018-04-17,H,11,12,L,-1
2018,1,423504,423510,Brown,Cornell,2018-04-21,A,5,19,L,-14
2018,1,423504,423505,Brown,Bryant,2018-04-24,H,9,17,L,-8
2018,1,423504,423511,Brown,Dartmouth,2018-04-28,H,20,6,W,14
2018,1,423504,423510,Brown,"Cornell @New York, N.Y.",2018-05-04,H,4,7,L,-3
2018,1,423505,423532,Bryant,Manhattan,2018-02-03,H,15,7,W,8
2018,1,423505,423506,Bryant,Bucknell,2018-02-10,H,12,14,L,-2
2018,1,423505,423549,Bryant,Providence,2018-02-17,A,8,13,L,-5
2018,1,423505,423521,Bryant,Hartford,2018-02-24,A,15,10,W,5
2018,1,423505,423503,Bryant,Boston U.,2018-02-27,H,7,8,L,-1
2018,1,423505,423569,Bryant,Yale,2018-03-03,H,8,11,L,-3
2018,1,423505,423515,Bryant,Drexel,2018-03-10,H,9,12,L,-3
2018,1,423505,423541,Bryant,Mount St. Mary's,2018-03-17,H,20,11,W,9
2018,1,423505,423554,Bryant,Sacred Heart,2018-03-24,A,16,7,W,9
2018,1,423505,423552,Bryant,Robert Morris,2018-03-30,A,10,7,W,3
2018,1,423505,423568,Bryant,Wagner,2018-04-07,H,8,3,W,5
2018,1,423505,423556,Bryant,Saint Joseph's,2018-04-14,A,7,14,L,-7
2018,1,423505,423523,Bryant,Hobart,2018-04-21,H,13,8,W,5
2018,1,423505,423504,Bryant,Brown,2018-04-24,A,17,9,W,8
2018,1,423505,423552,Bryant,"Robert Morris @Philadelphia, Pa.",2018-05-03,H,5,12,L,-7
