academic_year,division,team_org_id,opp_org_id,team_name,opp_name,game_date,location,team_score,opp_score,result,goal_margin
2022,2,530163,530116.0,Adams St.,Colorado Mesa,2022-03-05,H,4,21,L,-17
2022,2,530163,530123.0,Adams St.,Lindenwood,2022-03-21,A,3,19,L,-16
2022,2,530163,530165.0,Adams St.,Quincy,2022-03-23,A,12,11,W,1
2022,2,530163,530105.0,Adams St.,Rockhurst,2022-03-25,A,3,20,L,-17
2022,2,530163,530110.0,Adams St.,CSU Pueblo,2022-04-02,A,5,18,L,-13
2022,2,530163,530129.0,Adams St.,Westminster (UT),2022-04-10,A,2,23,L,-21
2022,2,530163,530129.0,Adams St.,Westminster (UT),2022-04-22,H,3,22,L,-19
2022,2,530163,530116.0,Adams St.,Colorado Mesa,2022-04-24,A,5,18,L,-13
2022,2,530163,530110.0,Adams St.,CSU Pueblo,2022-04-30,H,7,15,L,-8
2022,2,530163,530129.0,Adams St.,#1 Westminster (UT) 2022 RMAC MLA Tournament,2022-05-06,A,2,19,L,-17
2022,2,530139,530114.0,Adelphi,Georgian Court,2022-03-02,H,16,6,W,10
2022,2,530139,530141.0,Adelphi,American Int'l,2022-03-05,A,19,6,W,13
2022,2,530139,530377.0,Adelphi,Connecticut Col.,2022-03-14,H,10,7,W,3
2022,2,530139,530155.0,Adelphi,Southern N.H.,2022-03-19,A,10,7,W,3
2022,2,530139,530159.0,Adelphi,St. Anselm,2022-03-26,H,15,14,W,1
2022,2,530139,530106.0,Adelphi,Saint Rose,2022-03-29,H,7,4,W,3
2022,2,530139,530142.0,Adelphi,Assumption,2022-04-02,A,14,5,W,9
2022,2,530139,530157.0,Adelphi,Pace,2022-04-06,A,11,8,W,3
2022,2,530139,530161.0,Adelphi,Saint Michael's,2022-04-09,H,16,8,W,8
2022,2,530139,530154.0,Adelphi,Molloy,2022-04-12,A,12,8,W,4
2022,2,530139,530148.0,Adelphi,Franklin Pierce,2022-04-16,H,17,7,W,10
2022,2,530139,530152.0,Adelphi,Mercy,2022-04-19,H,6,10,L,-4
2022,2,530139,530143.0,Adelphi,Bentley,2022-04-23,A,18,11,W,7
2022,2,530139,530150.0,Adelphi,Le Moyne,2022-04-26,A,13,7,W,6
2022,2,530139,530143.0,Adelphi,#5 Bentley 2022 NE10 MLA Tournament,2022-05-04,H,15,10,W,5
2022,2,530139,530150.0,Adelphi,#2 Le Moyne 2022 NE10 MLA Tournament,2022-05-07,H,9,2,W,7
2022,2,530139,530150.0,Adelphi,#3 Le Moyne 2022 NCAA DII MLA Championship,2022-05-15,H,4,9,L,-5
2022,2,530140,530101.0,Alabama Huntsville,Lincoln Memorial,2022-02-05,H,16,3,W,13
2022,2,530140,530116.0,Alabama Huntsville,Colorado Mesa,2022-02-09,H,10,19,L,-9
2022,2,530140,530128.0,Alabama Huntsville,Emmanuel (GA),2022-02-12,A,13,8,W,5
2022,2,530140,530132.0,Alabama Huntsville,Embry-Riddle (FL),2022-02-18,A,14,10,W,4
2022,2,530140,530160.0,Alabama Huntsville,Saint Leo,2022-02-20,A,14,16,L,-2
2022,2,530140,530118.0,Alabama Huntsville,Tusculum,2022-02-26,H,10,12,L,-2
2022,2,530140,530151.0,Alabama Huntsville,Maryville (MO),2022-03-13,A,7,9,L,-2
2022,2,530140,530095.0,Alabama Huntsville,"Lewis @St. Louis, MO",2022-03-15,H,12,14,L,-2
2022,2,530140,530115.0,Alabama Huntsville,"North Greenville @Johns Creek, GA",2022-03-19,H,17,10,W,7
2022,2,530140,530123.0,Alabama Huntsville,Lindenwood,2022-03-26,H,6,12,L,-6
2022,2,530140,530126.0,Alabama Huntsville,Shorter,2022-04-02,H,18,4,W,14
2022,2,530140,530130.0,Alabama Huntsville,Montevallo,2022-04-09,A,14,13,W,1
2022,2,530140,530127.0,Alabama Huntsville,Young Harris,2022-04-16,H,16,2,W,14
2022,2,530140,534897.0,Alabama Huntsville,Flagler,2022-04-23,A,14,6,W,8
2022,2,530140,530137.0,Alabama Huntsville,Lander,2022-04-30,H,11,9,W,2
2022,2,530140,534897.0,Alabama Huntsville,#4 Flagler 2022 Peach Belt MLA Tournament,2022-05-06,H,12,9,W,3
2022,2,530140,530130.0,Alabama Huntsville,#3 Montevallo 2022 Peach Belt MLA Tournament,2022-05-08,H,9,15,L,-6
2022,2,530164,530135.0,Alderson Broaddus,"Felician @Sparks, MD",2022-02-20,H,4,16,L,-12
2022,2,530164,530112.0,Alderson Broaddus,Chowan,2022-02-26,A,9,13,L,-4
2022,2,530164,530101.0,Alderson Broaddus,Lincoln Memorial,2022-03-02,A,12,18,L,-6
2022,2,530164,534882.0,Alderson Broaddus,D'Youville,2022-03-07,H,18,3,W,15
2022,2,530164,530107.0,Alderson Broaddus,St. Thomas Aquinas,2022-03-11,H,8,10,L,-2
2022,2,530164,530124.0,Alderson Broaddus,Walsh,2022-03-20,H,4,15,L,-11
2022,2,530164,530144.0,Alderson Broaddus,Davis & Elkins,2022-03-31,H,10,11,L,-1
2022,2,530164,530153.0,Alderson Broaddus,Mercyhurst,2022-04-16,H,2,22,L,-20
2022,2,530164,530122.0,Alderson Broaddus,Seton Hill,2022-04-19,A,5,28,L,-23
2022,2,530164,530111.0,Alderson Broaddus,Lake Erie,2022-04-23,A,5,22,L,-17
2022,2,530164,530136.0,Alderson Broaddus,Frostburg St.,2022-04-26,H,1,19,L,-18
2022,2,530164,530093.0,Alderson Broaddus,Wheeling,2022-05-01,A,3,15,L,-12
2022,2,530141,530107.0,American Int'l,St. Thomas Aquinas,2022-02-19,H,7,4,W,3
2022,2,530141,530094.0,American Int'l,Caldwell,2022-02-27,A,5,14,L,-9
2022,2,530141,530139.0,American Int'l,Adelphi,2022-03-05,H,6,19,L,-13
2022,2,530141,530113.0,American Int'l,Dominican (NY),2022-03-12,H,5,7,L,-2
2022,2,530141,530104.0,American Int'l,Post,2022-03-16,H,9,14,L,-5
2022,2,530141,530135.0,American Int'l,Felician,2022-03-19,A,8,9,L,-1
2022,2,530141,530157.0,American Int'l,Pace,2022-03-26,A,3,19,L,-16
2022,2,530141,530148.0,American Int'l,Franklin Pierce,2022-03-29,A,5,20,L,-15
2022,2,530141,530106.0,American Int'l,Saint Rose,2022-04-02,H,7,15,L,-8
2022,2,530141,530143.0,American Int'l,Bentley,2022-04-06,H,8,16,L,-8
2022,2,530141,530155.0,American Int'l,Southern N.H.,2022-04-09,A,4,21,L,-17
2022,2,530141,530159.0,American Int'l,Saint Anselm,2022-04-12,H,3,19,L,-16
2022,2,530141,530150.0,American Int'l,Le Moyne,2022-04-15,A,4,15,L,-11
2022,2,530141,530142.0,American Int'l,Assumption,2022-04-23,H,8,14,L,-6
2022,2,530141,530161.0,American Int'l,Saint Michael's,2022-04-26,H,11,20,L,-9
2022,2,530092,530147.0,Anderson (SC),Fla. Southern,2022-02-04,H,12,23,L,-11
2022,2,530092,530137.0,Anderson (SC),Lander,2022-02-12,H,15,17,L,-2
2022,2,530092,530127.0,Anderson (SC),Young Harris,2022-02-16,A,21,8,W,13
2022,2,530092,530138.0,Anderson (SC),Barton,2022-02-19,H,16,6,W,10
2022,2,530092,530115.0,Anderson (SC),North Greenville,2022-02-23,H,17,16,W,1
2022,2,530092,530132.0,Anderson (SC),Embry-Riddle (FL),2022-02-27,H,10,4,W,6
2022,2,530092,530101.0,Anderson (SC),Lincoln Memorial,2022-03-05,H,24,6,W,18
2022,2,530092,530102.0,Anderson (SC),Mars Hill,2022-03-11,A,20,8,W,12
2022,2,530092,530099.0,Anderson (SC),Lenoir-Rhyne,2022-03-16,A,9,15,L,-6
2022,2,530092,530108.0,Anderson (SC),Wingate,2022-03-19,H,14,12,W,2
2022,2,530092,530097.0,Anderson (SC),Catawba,2022-03-26,A,13,17,L,-4
2022,2,530092,530118.0,Anderson (SC),Tusculum,2022-03-30,H,18,10,W,8
2022,2,530092,530100.0,Anderson (SC),Limestone,2022-04-09,A,5,20,L,-15
2022,2,530092,530134.0,Anderson (SC),Newberry,2022-04-13,H,13,14,L,-1
2022,2,530092,530117.0,Anderson (SC),Queens (NC),2022-04-16,H,9,17,L,-8
2022,2,530092,530098.0,Anderson (SC),Coker,2022-04-22,A,18,15,W,3
2022,2,530142,530131.0,Assumption,Palm Beach Atl.,2022-03-02,A,7,19,L,-12
2022,2,530142,530120.0,Assumption,Lynn,2022-03-05,A,8,17,L,-9
2022,2,530142,530114.0,Assumption,Georgian Court,2022-03-14,H,15,10,W,5
2022,2,530142,530148.0,Assumption,Franklin Pierce,2022-03-19,A,9,10,L,-1
2022,2,530142,530161.0,Assumption,Saint Michael's,2022-03-26,H,14,11,W,3
2022,2,530142,530143.0,Assumption,Bentley,2022-03-29,A,1,12,L,-11
2022,2,530142,530139.0,Assumption,Adelphi,2022-04-02,H,5,14,L,-9
2022,2,530142,530155.0,Assumption,Southern N.H.,2022-04-06,H,13,14,L,-1
2022,2,530142,530150.0,Assumption,Le Moyne,2022-04-09,A,7,11,L,-4
2022,2,530142,530157.0,Assumption,Pace,2022-04-12,A,9,15,L,-6
2022,2,530142,530106.0,Assumption,Saint Rose,2022-04-16,H,10,7,W,3
2022,2,530142,530141.0,Assumption,American Int'l,2022-04-23,A,14,8,W,6
2022,2,530142,530159.0,Assumption,Saint Anselm,2022-04-26,H,8,16,L,-8
2022,2,530138,530108.0,Barton,Wingate,2022-02-05,H,7,18,L,-11
2022,2,530138,530145.0,Barton,"Dist. Columbia @Richmond, VA",2022-02-15,H,13,7,W,6
2022,2,530138,530092.0,Barton,Anderson (SC),2022-02-19,A,6,16,L,-10
2022,2,530138,530097.0,Barton,Catawba,2022-02-23,A,12,11,W,1
2022,2,530138,530098.0,Barton,Coker,2022-02-26,H,10,7,W,3
2022,2,530138,530160.0,Barton,Saint Leo,2022-03-04,H,8,20,L,-12
2022,2,530138,530144.0,Barton,Davis & Elkins,2022-03-09,H,20,8,W,12
2022,2,530138,530137.0,Barton,Lander,2022-03-12,A,15,10,W,5
2022,2,530138,530109.0,Barton,Belmont Abbey,2022-03-19,A,8,9,L,-1
2022,2,530138,530115.0,Barton,North Greenville,2022-03-26,H,15,19,L,-4
2022,2,530138,530119.0,Barton,Lees-McRae,2022-04-02,A,22,8,W,14
2022,2,530138,530128.0,Barton,Emmanuel (GA),2022-04-09,A,18,7,W,11
2022,2,530138,530112.0,Barton,Chowan,2022-04-16,H,19,17,W,2
2022,2,530138,530103.0,Barton,Mount Olive,2022-04-22,H,9,11,L,-2
2022,2,530138,530112.0,Barton,#5 Chowan 2022 Conference Carolinas MLA Tournament,2022-04-26,H,21,12,W,9
2022,2,530138,530109.0,Barton,#1 Belmont Abbey 2022 Conference Carolinas MLA Tournament,2022-04-29,H,7,8,L,-1
2022,2,530109,530100.0,Belmont Abbey,Limestone,2022-02-05,H,9,20,L,-11
2022,2,530109,530146.0,Belmont Abbey,Florida Tech,2022-02-12,H,12,13,L,-1
2022,2,530109,530147.0,Belmont Abbey,Fla. Southern,2022-02-17,H,13,21,L,-8
2022,2,530109,530099.0,Belmont Abbey,Lenoir-Rhyne,2022-02-26,H,6,10,L,-4
2022,2,530109,530097.0,Belmont Abbey,Catawba,2022-03-05,H,14,6,W,8
2022,2,530109,530117.0,Belmont Abbey,Queens (NC),2022-03-12,A,10,6,W,4
