academic_year,division,conference,conference_strength,team_count,conference_rank
2014,1,ACC,0.654899143000191,6,1
2014,1,ASUN,0.3744993080737646,6,10
2014,1,America East,0.47448046534600613,6,6
2014,1,Big East,0.4750736743240864,7,5
2014,1,CAA,0.5592204306547215,6,2
2014,1,ECAC,0.5255277970503415,5,4
2014,1,Ivy League,0.5525615330989202,7,3
2014,1,MAAC,0.4135837248126384,7,9
2014,1,NEC,0.42191746730654656,7,8
2014,1,Patriot,0.45799846424421786,9,7
2014,2,Conference Carolinas,0.5437126992396026,5,1
2014,2,ECAC-II,0.4825447845019716,8,6
2014,2,ECC,0.5185789880820554,8,2
2014,2,Independent,0.42125733109384644,7,7
2014,2,NE10,0.5044636235721507,11,3
2014,2,SAC,0.49407306399652173,8,5
2014,2,Sunshine State,0.5007958981545225,6,4
2015,1,ACC,0.6842971196783274,5,1
2015,1,America East,0.5056505218930352,6,5
2015,1,Big East,0.5280689504519617,6,3
2015,1,Big Ten,0.5247865208815424,6,4
2015,1,CAA,0.47555734102435104,6,7
2015,1,Ivy League,0.5535992896626187,7,2
2015,1,MAAC,0.4247894606205326,7,9
2015,1,NEC,0.4315808701798224,7,8
2015,1,Patriot,0.503842737630343,9,6
2015,1,SoCon,0.4150772682043941,7,10
2015,2,Conference Carolinas,0.521192143100734,6,3
2015,2,ECAC-II,0.5412763287071386,7,2
2015,2,ECC,0.4782852121728338,9,5
2015,2,Independent,0.36487143101487013,7,7
2015,2,NE10,0.5061098795678144,12,4
2015,2,SAC,0.4763574087910592,9,6
2015,2,Sunshine State,0.5435789855281427,6,1
2016,1,ACC,0.599973716781113,5,1
2016,1,America East,0.5168115638738071,6,4
2016,1,Big East,0.49997721220590136,6,6
2016,1,Big Ten,0.5460190088473945,6,2
2016,1,CAA,0.5071770005592794,6,5
2016,1,Ivy League,0.5183075589531125,7,3
2016,1,MAAC,0.41843905765303596,7,10
2016,1,NEC,0.4804975381114564,7,8
2016,1,Patriot,0.4925944333571672,9,7
2016,1,SoCon,0.4445925211902157,8,9
2016,2,Conference Carolinas,0.5549978530544445,6,2
2016,2,ECAC-II,0.5342345159190052,9,3
2016,2,ECC,0.4990224625621518,9,5
2016,2,Independent,0.3204796541762168,7,8
2016,2,NE10,0.5065846419373342,12,4
2016,2,RMAC,0.46498483600653484,4,6
2016,2,SAC,0.45029369656651863,9,7
2016,2,Sunshine State,0.6029671453052483,6,1
2017,1,ACC,0.6063735505128739,5,2
2017,1,America East,0.5344161992020304,6,3
2017,1,Big East,0.495461647138042,6,6
2017,1,Big Ten,0.6407960069382366,6,1
2017,1,CAA,0.5338080779023479,6,4
2017,1,Ivy League,0.49693300133980545,7,5
2017,1,MAAC,0.41238184120351346,7,10
2017,1,NEC,0.4703539428225644,7,8
2017,1,Patriot,0.47852795150722344,9,7
2017,1,SoCon,0.42312817131069214,8,9
2017,2,Conference Carolinas,0.4746446247336975,8,6
2017,2,ECC,0.5073906394755169,9,5
2017,2,G-MAC,0.3947644601521813,3,7
2017,2,Independent,0.3862488983942273,9,8
2017,2,NE10,0.5088639931394034,12,4
2017,2,RMAC,0.5169700719087793,5,3
2017,2,SAC,0.5201757875735193,9,2
2017,2,Sunshine State,0.5631667864039298,6,1
2018,1,ACC,0.5958345004121091,5,1
2018,1,America East,0.4911055401770684,7,6
2018,1,Big East,0.5352683996636007,6,4
2018,1,Big Ten,0.5950508596827736,6,2
2018,1,CAA,0.4695646290832111,6,8
2018,1,Ivy League,0.5364371037422456,7,3
2018,1,MAAC,0.412580243781172,7,10
2018,1,NEC,0.4729538289309136,7,7
2018,1,Patriot,0.5046703295396655,9,5
2018,1,SoCon,0.4319980112036627,7,9
2018,2,CACC,0.3446784640984557,6,10
2018,2,Conference Carolinas,0.5356184544840943,6,2
2018,2,DII Independent,0.42744236058816076,3,9
2018,2,ECC,0.531390591778213,7,4
2018,2,G-MAC,0.4597732974947934,7,8
2018,2,GLVC,0.4671132449157623,6,7
2018,2,NE10,0.5241625855003232,12,5
2018,2,RMAC,0.5562786799168293,4,1
2018,2,SAC,0.5055922455131313,9,6
2018,2,Sunshine State,0.5342737083912175,8,3
2019,1,ACC,0.6260630126380058,5,1
2019,1,America East,0.41754628134370214,7,10
2019,1,Big East,0.5118424003249015,6,5
2019,1,Big Ten,0.5787852507359657,6,2
2019,1,CAA,0.5212341528735803,6,4
2019,1,DI Independent,0.4023864037338739,4,11
2019,1,Ivy League,0.5282388270705812,7,3
2019,1,MAAC,0.4300840067545206,8,9
2019,1,NEC,0.4592923518360257,7,7
2019,1,Patriot,0.5045372807748254,9,6
2019,1,SoCon,0.4449643480544021,8,8
2019,2,CACC,0.37375188344116345,6,9
2019,2,Conference Carolinas,0.4945507979579302,8,6
2019,2,ECC,0.4991306254232536,7,5
2019,2,G-MAC,0.4200847911017257,7,8
