academic_year,division,team_name,org_id,record,conference,scoring_offense_rank,scoring_offense,scoring_defense_rank,scoring_defense,faceoff_winning_pct_rank,faceoff_winning_pct,man_up_offense_rank,man_up_offense,man_down_defense_rank,man_down_defense,scoring_margin_rank,scoring_margin,winning_pct_rank,winning_pct,assists_per_game_rank,assists_per_game,saves_per_game_rank,saves_per_game,points_per_game_rank,points_per_game,ground_balls_per_game_rank,ground_balls_per_game,turnovers_per_game_rank,turnovers_per_game,caused_turnovers_per_game_rank,caused_turnovers_per_game,shot_pct_rank,shot_pct,clearing_pct_rank,clearing_pct,games,opponent_clear_pct
2014,1,Canisius,116,7-8,,55.0,8.6,23.0,9.47,20.0,0.551,49.0,0.298,63.0,0.483,44.0,-0.87,36.0,0.467,43.0,5.07,42.0,10.53,52.0,13.67,61.0,26.07,20.0,13.53,65.0,4.87,46.0,0.257,24.0,0.879,,
2014,1,UAlbany,14,12-6,,1.0,15.94,50.0,11.33,54.0,0.41,7.0,0.471,46.0,0.609,4.0,4.61,15.0,0.667,1.0,9.39,4.0,13.56,1.0,25.33,34.0,29.33,18.0,13.39,20.0,7.72,1.0,0.378,10.0,0.892,,
2014,1,Colgate,153,9-7,,58.0,8.44,15.0,8.88,7.0,0.598,57.0,0.266,30.0,0.653,35.0,-0.44,26.0,0.563,60.0,3.94,55.0,9.88,58.0,12.38,27.0,29.69,45.0,15.31,32.0,6.94,45.0,0.258,42.0,0.858,,
2014,1,Cornell,167,11-5,,7.0,12.75,25.0,9.56,29.0,0.517,10.0,0.443,29.0,0.653,8.0,3.19,11.0,0.688,11.0,7.13,34.0,10.75,7.0,19.88,5.0,34.94,29.0,14.38,16.0,7.94,8.0,0.32,29.0,0.875,,
2014,1,Dartmouth,172,2-10,,59.0,8.25,65.0,13.33,57.0,0.405,63.0,0.238,67.0,0.432,62.0,-5.08,60.0,0.167,57.0,4.0,25.0,11.08,59.0,12.25,15.0,31.58,59.0,17.25,5.0,9.58,62.0,0.22,62.0,0.8,,
2014,1,Delaware,180,7-9,,48.0,9.13,18.0,9.0,8.0,0.596,51.0,0.289,25.0,0.661,32.0,0.13,39.0,0.438,39.0,5.19,40.0,10.56,46.0,14.31,27.0,29.69,36.0,14.81,33.0,6.88,39.0,0.273,43.0,0.854,,
2014,1,Denver,183,16-3,,3.0,13.21,10.0,8.47,38.0,0.485,20.0,0.405,40.0,0.629,3.0,4.74,3.0,0.842,9.0,7.37,36.0,10.68,4.0,20.58,35.0,29.32,1.0,11.16,58.0,5.95,3.0,0.371,16.0,0.885,,
2014,1,Detroit Mercy,184,6-8,,46.0,9.14,26.0,9.64,55.0,0.407,1.0,0.708,20.0,0.673,36.0,-0.5,40.0,0.429,17.0,6.5,1.0,16.07,33.0,15.64,50.0,27.21,60.0,17.71,19.0,7.79,38.0,0.274,63.0,0.794,,
2014,1,Drexel,191,13-5,,16.0,11.61,33.0,10.33,5.0,0.606,25.0,0.38,55.0,0.578,21.0,1.28,9.0,0.722,18.0,6.44,22.0,11.28,16.0,18.06,14.0,31.78,35.0,14.72,49.0,6.28,28.0,0.286,11.0,0.891,,
2014,1,Duke,193,17-3,,2.0,14.85,27.0,9.65,14.0,0.577,27.0,0.373,24.0,0.663,2.0,5.2,2.0,0.85,2.0,9.0,59.0,9.6,2.0,23.85,4.0,35.05,24.0,13.8,47.0,6.35,5.0,0.358,8.0,0.894,,
2014,1,High Point,19651,9-7,,36.0,9.63,22.0,9.44,10.0,0.581,61.0,0.241,3.0,0.774,30.0,0.19,26.0,0.563,32.0,5.69,2.0,14.0,35.0,15.31,18.0,31.25,54.0,16.31,14.0,8.06,36.0,0.278,47.0,0.843,,
2014,1,Fairfield,220,12-4,,19.0,11.31,8.0,8.44,41.0,0.476,35.0,0.356,14.0,0.707,12.0,2.88,6.0,0.75,32.0,5.69,53.0,9.94,21.0,17.0,40.0,28.69,12.0,12.44,33.0,6.88,4.0,0.369,23.0,0.881,,
2014,1,Furman,244,1-12,,60.0,7.31,67.0,13.85,27.0,0.533,64.0,0.226,17.0,0.692,67.0,-6.54,65.0,0.077,61.0,3.77,15.0,11.54,61.0,11.08,67.0,24.31,62.0,17.85,66.0,4.23,61.0,0.22,58.0,0.822,,
2014,1,Georgetown,251,4-10,,54.0,8.64,40.0,10.79,2.0,0.653,30.0,0.368,38.0,0.633,52.0,-2.14,56.0,0.286,42.0,5.07,39.0,10.57,51.0,13.71,8.0,33.07,51.0,15.93,59.0,5.86,57.0,0.245,54.0,0.829,,
2014,1,Hartford,272,6-9,,34.0,10.0,34.0,10.4,23.0,0.541,53.0,0.286,40.0,0.629,33.0,-0.4,43.0,0.4,41.0,5.13,48.0,10.27,39.0,15.13,7.0,33.8,38.0,14.87,17.0,7.93,54.0,0.246,27.0,0.877,,
2014,1,Harvard,275,10-7,,22.0,10.71,30.0,9.76,37.0,0.49,24.0,0.389,49.0,0.602,24.0,0.94,23.0,0.588,13.0,6.82,49.0,10.24,18.0,17.53,29.0,29.65,43.0,15.24,23.0,7.53,20.0,0.292,17.0,0.885,,
2014,1,Hobart,282,5-10,,53.0,8.67,34.0,10.4,56.0,0.405,41.0,0.333,38.0,0.633,51.0,-1.73,52.0,0.333,57.0,4.0,23.0,11.27,56.0,12.67,64.0,24.87,22.0,13.6,45.0,6.4,40.0,0.273,57.0,0.823,,
2014,1,Hofstra,283,11-5,,37.0,9.56,8.0,8.44,21.0,0.551,26.0,0.377,57.0,0.571,22.0,1.13,11.0,0.688,49.0,4.81,66.0,8.44,44.0,14.38,40.0,28.69,6.0,12.06,57.0,6.0,35.0,0.279,36.0,0.868,,
2014,1,Holy Cross,285,3-12,,49.0,9.07,66.0,13.47,30.0,0.514,45.0,0.308,54.0,0.585,60.0,-4.4,59.0,0.2,43.0,5.07,35.0,10.73,47.0,14.13,51.0,27.2,41.0,15.13,63.0,5.4,51.0,0.252,53.0,0.832,,
2014,1,Jacksonville,316,4-9,,38.0,9.54,57.0,11.77,64.0,0.374,41.0,0.333,60.0,0.544,54.0,-2.23,55.0,0.308,40.0,5.15,8.0,12.62,41.0,14.69,55.0,26.46,56.0,16.46,53.0,6.15,13.0,0.309,12.0,0.89,,
2014,1,Johns Hopkins,322,11-5,,11.0,12.06,17.0,8.94,15.0,0.57,2.0,0.545,26.0,0.659,9.0,3.13,11.0,0.688,7.0,7.44,30.0,10.88,9.0,19.5,22.0,30.63,21.0,13.56,55.0,6.13,15.0,0.303,55.0,0.826,,
