academic_year,division,team_name,org_id,conference,record,assists_per_game,caused_turnovers_per_game,clearing_percentage,face_off_winning_percentage,ground_balls_per_game,man_down_defense,man_up_offense,opponent_clear_percentage,points_per_game,saves_per_game,scoring_defense,scoring_margin,scoring_offense,shot_percentage,turnovers_per_game,winning_percentage
2014,1,Canisius,116,,7-8,5.07,4.87,0.879,0.551,26.07,0.483,0.298,,13.67,10.53,9.47,-0.87,8.6,0.257,13.53,0.467
2014,1,UAlbany,14,,12-6,9.39,7.72,0.892,0.41,29.33,0.609,0.471,,25.33,13.56,11.33,4.61,15.94,0.378,13.39,0.667
2014,1,Colgate,153,,9-7,3.94,6.94,0.858,0.598,29.69,0.653,0.266,,12.38,9.88,8.88,-0.44,8.44,0.258,15.31,0.563
2014,1,Cornell,167,,11-5,7.13,7.94,0.875,0.517,34.94,0.653,0.443,,19.88,10.75,9.56,3.19,12.75,0.32,14.38,0.688
2014,1,Dartmouth,172,,2-10,4.0,9.58,0.8,0.405,31.58,0.432,0.238,,12.25,11.08,13.33,-5.08,8.25,0.22,17.25,0.167
2014,1,Delaware,180,,7-9,5.19,6.88,0.854,0.596,29.69,0.661,0.289,,14.31,10.56,9.0,0.13,9.13,0.273,14.81,0.438
2014,1,Denver,183,,16-3,7.37,5.95,0.885,0.485,29.32,0.629,0.405,,20.58,10.68,8.47,4.74,13.21,0.371,11.16,0.842
2014,1,Detroit Mercy,184,,6-8,6.5,7.79,0.794,0.407,27.21,0.673,0.708,,15.64,16.07,9.64,-0.5,9.14,0.274,17.71,0.429
2014,1,Drexel,191,,13-5,6.44,6.28,0.891,0.606,31.78,0.578,0.38,,18.06,11.28,10.33,1.28,11.61,0.286,14.72,0.722
2014,1,Duke,193,,17-3,9.0,6.35,0.894,0.577,35.05,0.663,0.373,,23.85,9.6,9.65,5.2,14.85,0.358,13.8,0.85
2014,1,High Point,19651,,9-7,5.69,8.06,0.843,0.581,31.25,0.774,0.241,,15.31,14.0,9.44,0.19,9.63,0.278,16.31,0.563
2014,1,Fairfield,220,,12-4,5.69,6.88,0.881,0.476,28.69,0.707,0.356,,17.0,9.94,8.44,2.88,11.31,0.369,12.44,0.75
2014,1,Furman,244,,1-12,3.77,4.23,0.822,0.533,24.31,0.692,0.226,,11.08,11.54,13.85,-6.54,7.31,0.22,17.85,0.077
2014,1,Georgetown,251,,4-10,5.07,5.86,0.829,0.653,33.07,0.633,0.368,,13.71,10.57,10.79,-2.14,8.64,0.245,15.93,0.286
2014,1,Hartford,272,,6-9,5.13,7.93,0.877,0.541,33.8,0.629,0.286,,15.13,10.27,10.4,-0.4,10.0,0.246,14.87,0.4
2014,1,Harvard,275,,10-7,6.82,7.53,0.885,0.49,29.65,0.602,0.389,,17.53,10.24,9.76,0.94,10.71,0.292,15.24,0.588
2014,1,Hobart,282,,5-10,4.0,6.4,0.823,0.405,24.87,0.633,0.333,,12.67,11.27,10.4,-1.73,8.67,0.273,13.6,0.333
2014,1,Hofstra,283,,11-5,4.81,6.0,0.868,0.551,28.69,0.571,0.377,,14.38,8.44,8.44,1.13,9.56,0.279,12.06,0.688
