org_id,team_name,conference,division,vendor,conference_url,team_url,vendor_confidence,last_verified_utc,notes
593943,Duke,ACC,D1,unknown,https://theacc.com/sports/mlax,https://goduke.com/sports/mens-lacrosse,low,,
593990,North Carolina,ACC,D1,unknown,https://theacc.com/sports/mlax,https://goheels.com/sports/mens-lacrosse,low,,
594063,Notre Dame,ACC,D1,unknown,https://theacc.com/sports/mlax,https://fightingirish.com/sports/mlax/,low,,
594017,Syracuse,ACC,D1,unknown,https://theacc.com/sports/mlax,https://cuse.com/sports/mens-lacrosse,low,,
594033,Virginia,ACC,D1,unknown,https://theacc.com/sports/mlax,https://virginiasports.com/sports/mlax,low,,
593912,Binghamton,America East,D1,unknown,https://americaeast.com/sports/mlax,https://binghamtonbearcats.com/sports/mens-lacrosse,low,,
593920,Bryant,America East,D1,unknown,https://americaeast.com/sports/mlax,https://bryantbulldogs.com/sports/mens-lacrosse,low,,
507834,Hartford,America East,D1,unknown,https://americaeast.com/sports/mlax,https://hartfordhawks.com/sports/mens-lacrosse,low,,
593992,NJIT,America East,D1,unknown,https://americaeast.com/sports/mlax,https://njithighlanders.com/sports/mens-lacrosse,low,,
594053,UAlbany,America East,D1,unknown,https://americaeast.com/sports/mlax,https://ualbanysports.com/sports/mens-lacrosse,low,,
593964,UMass Lowell,America East,D1,unknown,https://americaeast.com/sports/mlax,https://goriverhawks.com/sports/mens-lacrosse,low,,
593974,UMBC,America East,D1,unknown,https://americaeast.com/sports/mlax,https://umbcretrievers.com/sports/mens-lacrosse,low,,
594027,Vermont,America East,D1,unknown,https://americaeast.com/sports/mlax,https://uvmathletics.com/sports/mens-lacrosse,low,,
594020,Air Force,ASUN,D1,unknown,https://asunsports.org/sports/mlax,https://goairforcefalcons.com/sports/mens-lacrosse,low,,
593910,Bellarmine,ASUN,D1,unknown,https://asunsports.org/sports/mlax,https://athletics.bellarmine.edu/sports/mens-lacrosse,low,,
593958,Jacksonville,ASUN,D1,unknown,https://asunsports.org/sports/mlax,https://judolphins.com/sports/mens-lacrosse,low,,
593982,Mercer,ASUN,D1,unknown,https://asunsports.org/sports/mlax,https://mercerbears.com/sports/mens-lacrosse,low,,
594051,Utah,ASUN,D1,unknown,https://asunsports.org/sports/mlax,https://utahutes.com/sports/mens-lacrosse,low,,
594040,High Point,Atlantic 10,D1,unknown,https://atlantic10.com/sports/mlax,https://highpointpanthers.com/sports/mens-lacrosse,low,,
593952,Hobart,Atlantic 10,D1,unknown,https://atlantic10.com/sports/mlax,https://hwsathletics.com/sports/mens-lacrosse,low,,
593979,Massachusetts,Atlantic 10,D1,unknown,https://atlantic10.com/sports/mlax,https://umassathletics.com/sports/mens-lacrosse,low,,
594005,Richmond,Atlantic 10,D1,unknown,https://atlantic10.com/sports/mlax,https://richmondspiders.com/sports/mens-lacrosse,low,,
594069,Saint Joseph's,Atlantic 10,D1,unknown,https://atlantic10.com/sports/mlax,https://sjuhawks.com/sports/mens-lacrosse,low,,
593908,St. Bonaventure,Atlantic 10,D1,unknown,https://atlantic10.com/sports/mlax,https://gobonnies.com/sports/mens-lacrosse,low,,
593936,Denver,Big East,D1,unknown,https://www.bigeast.com/sports/mlax,https://denverpioneers.com/sports/mens-lacrosse,low,,
594056,Georgetown,Big East,D1,unknown,https://www.bigeast.com/sports/mlax,https://guhoyas.com/sports/mens-lacrosse,low,,
593972,Marquette,Big East,D1,unknown,https://www.bigeast.com/sports/mlax,https://gomarquette.com/sports/mens-lacrosse,low,,
594001,Providence,Big East,D1,unknown,https://www.bigeast.com/sports/mlax,https://friars.com/sports/mens-lacrosse,low,,
594011,St. John's (NY),Big East,D1,unknown,https://www.bigeast.com/sports/mlax,https://redstormsports.com/sports/mens-lacrosse,low,,
594029,Villanova,Big East,D1,unknown,https://www.bigeast.com/sports/mlax,https://villanova.com/sports/mens-lacrosse,low,,
593960,Johns Hopkins,Big Ten,D1,unknown,https://bigten.org/sports/mens-lacrosse,https://bluejays.com/sports/mens-lacrosse,low,2026-03-22T15:19:52+00:00,live probe ok; signals: none (manual verify)
593977,Maryland,Big Ten,D1,sidearm,https://bigten.org/sports/mens-lacrosse,https://umterps.com/sports/mens-lacrosse,high,2026-03-22T15:19:52+00:00,live probe ok; signals: sidearm
594060,Michigan,Big Ten,D1,sidearm,https://bigten.org/sports/mens-lacrosse,https://mgoblue.com/sports/mens-lacrosse,high,2026-03-22T15:19:52+00:00,live probe ok; signals: sidearm
593994,Ohio St.,Big Ten,D1,sidearm,https://bigten.org/sports/mens-lacrosse,https://ohiostatebuckeyes.com/sports/mens-lacrosse,medium,2026-03-22T15:19:52+00:00,live probe ok; signals: sidearm+presto
593997,Penn St.,Big Ten,D1,presto,https://bigten.org/sports/mens-lacrosse,https://gopsusports.com/sports/mens-lacrosse,high,2026-03-22T15:19:52+00:00,live probe ok; signals: presto
594009,Rutgers,Big Ten,D1,sidearm,https://bigten.org/sports/mens-lacrosse,https://scarletknights.com/sports/mens-lacrosse,high,2026-03-22T15:19:52+00:00,live probe ok; signals: sidearm
593934,Delaware,CAA,D1,unknown,https://caasports.com/sports/mlax,https://bluehens.com/sports/mens-lacrosse,low,,
593940,Drexel,CAA,D1,unknown,https://caasports.com/sports/mlax,https://drexeldragons.com/sports/mens-lacrosse,low,,
593946,Fairfield,CAA,D1,unknown,https://caasports.com/sports/mlax,https://fairfieldstags.com/sports/mens-lacrosse,low,,
593948,Hampton,CAA,D1,unknown,https://caasports.com/sports/mlax,https://hamptonpirates.com/sports/mens-lacrosse,low,,
593954,Hofstra,CAA,D1,unknown,https://caasports.com/sports/mlax,https://gohofstra.com/sports/mens-lacrosse,low,,
593985,Monmouth,CAA,D1,unknown,https://caasports.com/sports/mlax,https://monmouthhawks.com/sports/mens-lacrosse,low,,
594015,Stony Brook,CAA,D1,unknown,https://caasports.com/sports/mlax,https://stonybrookathletics.com/sports/mens-lacrosse,low,,
594071,Towson,CAA,D1,unknown,https://caasports.com/sports/mlax,https://towsontigers.com/sports/mens-lacrosse,low,,
593918,Brown,Ivy League,D1,unknown,https://ivyleague.com/sports/mlax,https://brownbears.com/sports/mens-lacrosse,low,,
593931,Cornell,Ivy League,D1,unknown,https://ivyleague.com/sports/mlax,https://cornellbigred.com/sports/mens-lacrosse,low,,
593933,Dartmouth,Ivy League,D1,unknown,https://ivyleague.com/sports/mlax,https://dartmouthsports.com/sports/mens-lacrosse,low,,
593949,Harvard,Ivy League,D1,unknown,https://ivyleague.com/sports/mlax,https://gocrimson.com/sports/mens-lacrosse,low,,
593999,Penn,Ivy League,D1,unknown,https://ivyleague.com/sports/mlax,https://pennathletics.com/sports/mens-lacrosse,low,,
594066,Princeton,Ivy League,D1,unknown,https://ivyleague.com/sports/mlax,https://goprincetontigers.com/sports/mens-lacrosse,low,,
594037,Yale,Ivy League,D1,unknown,https://ivyleague.com/sports/mlax,https://yalebulldogs.com/sports/mens-lacrosse,low,,
593925,Canisius,MAAC,D1,unknown,https://maacsports.com/sports/mlax,https://gogriffs.com/sports/mens-lacrosse,low,,
594940,Iona,MAAC,D1,unknown,https://maacsports.com/sports/mlax,https://ionagaels.com/sports/mens-lacrosse,low,,
593968,Manhattan,MAAC,D1,unknown,https://maacsports.com/sports/mlax,https://gojaspers.com/sports/mens-lacrosse,low,,
593970,Marist,MAAC,D1,unknown,https://maacsports.com/sports/mlax,https://goredfoxes.com/sports/mens-lacrosse,low,,
594042,Merrimack,MAAC,D1,unknown,https://maacsports.com/sports/mlax,https://merrimackathletics.com/sports/mens-lacrosse,low,,
593988,Mount St. Mary's,MAAC,D1,unknown,https://maacsports.com/sports/mlax,https://mountathletics.com/sports/mens-lacrosse,low,,
594003,Quinnipiac,MAAC,D1,unknown,https://maacsports.com/sports/mlax,https://gobobcats.com/sports/mens-lacrosse,low,,
594068,Sacred Heart,MAAC,D1,unknown,https://maacsports.com/sports/mlax,https://sacredheartpioneers.com/sports/mens-lacrosse,low,,
594012,Siena,MAAC,D1,unknown,https://maacsports.com/sports/mlax,https://sienasaints.com/sports/mens-lacrosse,low,,
593927,Cleveland St.,NEC,D1,unknown,https://necsports.com/sports/mlacrosse,https://csuvikings.com/sports/mens-lacrosse,low,,
593938,Detroit Mercy,NEC,D1,unknown,https://necsports.com/sports/mlacrosse,https://detroittitans.com/sports/mens-lacrosse,low,,
593904,LIU,NEC,D1,unknown,https://necsports.com/sports/mlacrosse,https://www.liuathletics.com/sports/mens-lacrosse,low,,
594007,Robert Morris,NEC,D1,unknown,https://necsports.com/sports/mlacrosse,https://rmucolonials.com/sports/mens-lacrosse,low,,
594032,VMI,NEC,D1,unknown,https://necsports.com/sports/mlacrosse,https://vmikeydets.com/sports/lacrosse,low,,
594036,Wagner,NEC,D1,unknown,https://necsports.com/sports/mlacrosse,https://wagnerathletics.com/sports/mens-lacrosse,low,,
594022,Army West Point,Patriot,D1,unknown,https://patriotleague.org/sports/mlax,https://goarmywestpoint.com/sports/mens-lacrosse,low,,
593915,Boston U.,Patriot,D1,unknown,https://patriotleague.org/sports/mlax,https://goterriers.com/sports/mens-lacrosse,low,,
593922,Bucknell,Patriot,D1,unknown,https://patriotleague.org/sports/mlax,https://bucknellbison.com/sports/mens-lacrosse,low,,
593929,Colgate,Patriot,D1,unknown,https://patriotleague.org/sports/mlax,https://colgateathletics.com/sports/mens-lacrosse,low,,
593956,Holy Cross,Patriot,D1,unknown,https://patriotleague.org/sports/mlax,https://goholycross.com/sports/mens-lacrosse,low,,
593962,Lafayette,Patriot,D1,unknown,https://patriotleague.org/sports/mlax,https://goleopards.com/sports/mens-lacrosse,low,,
594058,Lehigh,Patriot,D1,unknown,https://patriotleague.org/sports/mlax,https://lehighsports.com/sports/mens-lacrosse,low,,
593966,Loyola Maryland,Patriot,D1,unknown,https://patriotleague.org/sports/mlax,https://loyolagreyhounds.com/sports/mens-lacrosse,low,,
594025,Navy,Patriot,D1,unknown,https://patriotleague.org/sports/mlax,https://navysports.com/sports/mens-lacrosse,low,,
493850,Furman,SoCon,D1,unknown,https://soconsports.com/sports/mlax,https://furmanpaladins.com/sports/mens-lacrosse,low,,
594220,Bridgeport,CACC,D2,unknown,https://caccathletics.org/sports/menslacrosse,https://www.ubknights.com/sports/mlax/index,low,,
594111,Caldwell,CACC,D2,unknown,https://caccathletics.org/sports/menslacrosse,https://caldwellathletics.com/sports/mens-lacrosse,low,,
594245,Chestnut Hill,CACC,D2,unknown,https://caccathletics.org/sports/menslacrosse,https://griffinathletics.com/sports/mens-lacrosse,low,,
594147,Dominican (NY),CACC,D2,unknown,https://caccathletics.org/sports/menslacrosse,https://www.chargerathletics.com/sports/mlax/coaches/index,low,,
594185,Felician,CACC,D2,unknown,https://caccathletics.org/sports/menslacrosse,https://felicianuathletics.com/sports/mens-lacrosse,low,,
594149,Georgian Court,CACC,D2,unknown,https://caccathletics.org/sports/menslacrosse,https://gculions.com/sports/mens-lacrosse,low,,
594073,Holy Family,CACC,D2,unknown,https://caccathletics.org/sports/menslacrosse,https://athletics.holyfamily.edu/sports/mens-lacrosse,low,,
594127,Post,CACC,D2,unknown,https://caccathletics.org/sports/menslacrosse,https://posteagles.com/sports/mens-lacrosse,low,,
594180,Wilmington (DE),CACC,D2,unknown,https://caccathletics.org/sports/menslacrosse,https://wildcats.athletics.wilmu.edu/sports/mlax/index,low,,
594192,Barton,Conference Carolinas,D2,unknown,https://conferencecarolinas.com/sports/mlax,https://bartonbulldogs.com/sports/mens-lacrosse,low,,
